material,maxTemp,minTemp
ASTM A216 WCB,427,-29
ASTM A216 WCC,427,-29
ASTM A352 LCC,343,-46
ASTM A352 LCB,343,-46
316 SS ASTM A351 CF8M,538,-268
316L SS ASTM A351 CF3M,454,-268
304 SS ASTM A351 CF8,538,-268
304L SS ASTM A351 CF3,427,-268
Duplex ASTM A995 Gr 4A,316,-46
S/Duplex ASTM A995 Gr 6A,316,-46
6Mo ASTM A351 CK-3MnCuN,399,-29
Cr/Mo Steel AISI 4130,121,-46
1.25Cr 0.5Mo A217 WC6,593,-29
2.25Cr 1Mo A217 WC9,593,-29
5.00Cr 0.5Mo A217 C5,593,-29
9.00Cr 1.0Mo A217 C12A,649,-29
ABr CuAl10Fe5Ni-C CC333G,288,-198
ASTM B148 C95800,260,-10
HT Brass BS 1400 HTB1,232,-198
Monel 400 A494 M30C,482,-198
Hastelloy B A494 N-12MV,538,-198
Hastelloy C A494 CW-12MV,538,-198
Alloy 20 ASTM A351 CN7M,325,-29
CS ASTM A105,427,-29
Aluminium BS1474 Gr 5083,66,-198
ASTM B367 C2,260,-29
ASTM B367 Gr T1-Pd7B,260,-29
N06625 Forged,538,-29
Alloy 800 HT,538,-29
AISI 4130 (60k psi),82,-46
AISI 4130 625clad (60k psi),82,-46
A182 F51 S31803,82,-59
A182 F53,82,-59
A182 F55 S32760,82,-59
A182 F60,82,-59
A694 F65,82,-59
B446 Alloy 625,82,-59
A487 Gr 4C,82,-46
